Open,High,Low,Close,Adj Close,Volume,Date,CompanyName
13.61,13.88,13.27,13.81,13.81,78320200.0,2017-07-10T00:00:00,AMD
13.77,14.1,13.62,13.89,13.89,71102300.0,2017-07-11T00:00:00,AMD
14.17,14.39,13.96,14.29,14.29,78508400.0,2017-07-12T00:00:00,AMD
14.33,14.49,13.43,13.53,13.53,111656900.0,2017-07-13T00:00:00,AMD
13.46,13.93,13.32,13.92,13.92,82084600.0,2017-07-14T00:00:00,AMD
14.03,14.12,13.51,13.8,13.8,71690800.0,2017-07-17T00:00:00,AMD
13.29,13.53,13.15,13.48,13.48,78366500.0,2017-07-18T00:00:00,AMD
13.62,13.74,13.41,13.55,13.55,51957800.0,2017-07-19T00:00:00,AMD
13.61,13.89,13.45,13.8,13.8,47707500.0,2017-07-20T00:00:00,AMD
13.7,14.05,13.62,13.88,13.88,51045700.0,2017-07-21T00:00:00,AMD
14.0,14.44,13.97,14.16,14.16,71014900.0,2017-07-24T00:00:00,AMD
14.29,14.32,13.87,14.11,14.11,98047400.0,2017-07-25T00:00:00,AMD
15.13,15.65,14.4,14.76,14.76,236083000.0,2017-07-26T00:00:00,AMD
14.99,15.04,13.7,14.12,14.12,130303700.0,2017-07-27T00:00:00,AMD
13.85,14.1,13.68,13.95,13.95,66763800.0,2017-07-28T00:00:00,AMD
14.09,14.22,13.47,13.61,13.61,69108700.0,2017-07-31T00:00:00,AMD
13.72,13.86,13.45,13.71,13.71,49149900.0,2017-08-01T00:00:00,AMD
13.81,13.93,13.12,13.37,13.37,67502200.0,2017-08-02T00:00:00,AMD
13.42,13.52,13.08,13.24,13.24,52557400.0,2017-08-03T00:00:00,AMD
13.2,13.36,13.02,13.12,13.12,64254000.0,2017-08-04T00:00:00,AMD
13.33,13.57,13.27,13.43,13.43,57486800.0,2017-08-07T00:00:00,AMD
13.48,13.55,13.08,13.11,13.11,47338000.0,2017-08-08T00:00:00,AMD
12.76,12.89,12.54,12.83,12.83,58861500.0,2017-08-09T00:00:00,AMD
12.7,12.92,12.11,12.12,12.12,83113400.0,2017-08-10T00:00:00,AMD
12.04,12.39,11.88,12.23,12.23,63558800.0,2017-08-11T00:00:00,AMD
12.58,12.85,12.58,12.76,12.76,64426100.0,2017-08-14T00:00:00,AMD
13.01,13.14,12.75,13.02,13.02,57990300.0,2017-08-15T00:00:00,AMD
13.17,13.19,12.52,12.63,12.63,64639400.0,2017-08-16T00:00:00,AMD
12.46,12.65,12.32,12.34,12.34,47371000.0,2017-08-17T00:00:00,AMD
12.43,12.56,12.25,12.37,12.37,37521700.0,2017-08-18T00:00:00,AMD
12.42,12.42,11.86,12.05,12.05,58888500.0,2017-08-21T00:00:00,AMD
12.2,12.33,12.1,12.17,12.17,39033200.0,2017-08-22T00:00:00,AMD
12.0,12.54,11.95,12.48,12.48,44345400.0,2017-08-23T00:00:00,AMD
12.69,12.71,12.39,12.5,12.5,37269700.0,2017-08-24T00:00:00,AMD
12.51,12.57,12.25,12.43,12.43,29732000.0,2017-08-25T00:00:00,AMD
12.53,12.55,12.16,12.23,12.23,35969600.0,2017-08-28T00:00:00,AMD
12.0,12.18,11.93,12.15,12.15,33618100.0,2017-08-29T00:00:00,AMD
12.19,12.68,12.16,12.67,12.67,43933000.0,2017-08-30T00:00:00,AMD
12.82,13.16,12.79,13.0,13.0,51822100.0,2017-08-31T00:00:00,AMD
13.12,13.49,13.04,13.19,13.19,53158600.0,2017-09-01T00:00:00,AMD
12.88,13.18,12.65,12.92,12.92,51445500.0,2017-09-05T00:00:00,AMD
13.02,13.08,12.75,12.86,12.86,34182400.0,2017-09-06T00:00:00,AMD
12.84,12.94,12.6,12.63,12.63,35816900.0,2017-09-07T00:00:00,AMD
12.57,12.61,12.04,12.25,12.25,60886200.0,2017-09-08T00:00:00,AMD
12.46,12.74,12.4,12.55,12.55,43346100.0,2017-09-11T00:00:00,AMD
12.66,12.68,12.21,12.3,12.3,54413100.0,2017-09-12T00:00:00,AMD
12.22,12.36,12.12,12.22,12.22,37210700.0,2017-09-13T00:00:00,AMD
12.15,12.46,12.11,12.26,12.26,37220200.0,2017-09-14T00:00:00,AMD
12.33,12.66,12.31,12.52,12.52,50337400.0,2017-09-15T00:00:00,AMD
12.77,13.3,12.74,13.08,13.08,83517400.0,2017-09-18T00:00:00,AMD
13.25,13.29,12.88,13.12,13.12,65455200.0,2017-09-19T00:00:00,AMD
13.07,13.8,12.8,13.74,13.74,102682400.0,2017-09-20T00:00:00,AMD
14.0,14.24,13.32,13.41,13.41,166821900.0,2017-09-21T00:00:00,AMD
13.2,13.4,13.12,13.3,13.3,50547000.0,2017-09-22T00:00:00,AMD
13.25,13.28,12.49,12.61,12.61,84172200.0,2017-09-25T00:00:00,AMD
12.85,12.93,12.43,12.45,12.45,68302000.0,2017-09-26T00:00:00,AMD
12.65,12.87,12.5,12.74,12.74,59947200.0,2017-09-27T00:00:00,AMD
12.76,12.84,12.55,12.74,12.74,35812300.0,2017-09-28T00:00:00,AMD
12.77,12.82,12.6,12.75,12.75,33926900.0,2017-09-29T00:00:00,AMD
12.8,12.85,12.62,12.71,12.71,34461100.0,2017-10-02T00:00:00,AMD
12.73,13.48,12.7,13.42,13.42,85174000.0,2017-10-03T00:00:00,AMD
13.31,13.5,13.15,13.31,13.31,42303200.0,2017-10-04T00:00:00,AMD
13.38,13.46,13.21,13.34,13.34,34758600.0,2017-10-05T00:00:00,AMD
13.22,13.39,13.18,13.23,13.23,28258700.0,2017-10-06T00:00:00,AMD
13.26,13.83,13.26,13.47,13.47,54032500.0,2017-10-09T00:00:00,AMD
13.72,13.79,13.44,13.7,13.7,43304000.0,2017-10-10T00:00:00,AMD
13.62,13.96,13.61,13.88,13.88,38746600.0,2017-10-11T00:00:00,AMD
13.85,14.37,13.81,14.2,14.2,69874100.0,2017-10-12T00:00:00,AMD
14.32,14.41,14.12,14.22,14.22,37515800.0,2017-10-13T00:00:00,AMD
14.25,14.35,14.12,14.26,14.26,34136800.0,2017-10-16T00:00:00,AMD
14.24,14.35,14.14,14.16,14.16,28995600.0,2017-10-17T00:00:00,AMD
14.2,14.28,13.76,14.07,14.07,39020300.0,2017-10-18T00:00:00,AMD
13.85,14.04,13.69,13.95,13.95,33795700.0,2017-10-19T00:00:00,AMD
14.03,14.09,13.8,13.81,13.81,32538900.0,2017-10-20T00:00:00,AMD
13.94,14.19,13.9,14.1,14.1,49838000.0,2017-10-23T00:00:00,AMD
14.2,14.36,14.15,14.25,14.25,84891600.0,2017-10-24T00:00:00,AMD
12.95,13.13,12.29,12.33,12.33,166762100.0,2017-10-25T00:00:00,AMD
12.45,12.46,12.0,12.01,12.01,87625400.0,2017-10-26T00:00:00,AMD
12.17,12.19,11.35,11.84,11.84,115650400.0,2017-10-27T00:00:00,AMD
11.26,11.42,10.65,10.89,10.89,137785100.0,2017-10-30T00:00:00,AMD
10.76,11.31,10.69,10.99,10.99,78600000.0,2017-10-31T00:00:00,AMD
11.25,11.29,10.72,10.8,10.8,66875500.0,2017-11-01T00:00:00,AMD
10.87,10.99,10.66,10.85,10.85,47942500.0,2017-11-02T00:00:00,AMD
10.95,11.13,10.82,11.12,11.12,44264300.0,2017-11-03T00:00:00,AMD
12.04,12.09,11.64,11.93,11.93,96349800.0,2017-11-06T00:00:00,AMD
11.94,12.27,11.92,12.05,12.05,67900200.0,2017-11-07T00:00:00,AMD
11.94,11.95,11.51,11.71,11.71,59065000.0,2017-11-08T00:00:00,AMD
11.25,11.35,11.03,11.12,11.12,76821200.0,2017-11-09T00:00:00,AMD
11.22,11.43,11.12,11.26,11.26,50209900.0,2017-11-10T00:00:00,AMD
11.18,11.2,10.92,11.09,11.09,54068300.0,2017-11-13T00:00:00,AMD
11.03,11.26,11.0,11.12,11.12,37245000.0,2017-11-14T00:00:00,AMD
11.01,11.13,10.77,11.07,11.07,33524700.0,2017-11-15T00:00:00,AMD
11.13,11.32,11.13,11.25,11.25,31800400.0,2017-11-16T00:00:00,AMD
11.3,11.75,11.28,11.38,11.38,56775600.0,2017-11-17T00:00:00,AMD
11.47,11.51,11.19,11.34,11.34,35960200.0,2017-11-20T00:00:00,AMD
11.42,11.49,11.24,11.4,11.4,31881700.0,2017-11-21T00:00:00,AMD
11.41,11.49,11.3,11.37,11.37,23816500.0,2017-11-22T00:00:00,AMD
11.38,11.42,11.3,11.38,11.38,11035800.0,2017-11-24T00:00:00,AMD
11.34,11.74,11.34,11.55,11.55,41798300.0,2017-11-27T00:00:00,AMD
11.45,11.54,11.0,11.17,11.17,65325700.0,2017-11-28T00:00:00,AMD
11.08,11.17,10.73,10.83,10.83,63333800.0,2017-11-29T00:00:00,AMD
10.87,11.03,10.76,10.89,10.89,43205000.0,2017-11-30T00:00:00,AMD
10.81,10.97,10.53,10.73,10.73,42128800.0,2017-12-01T00:00:00,AMD
10.85,10.86,9.82,10.03,10.03,97328300.0,2017-12-04T00:00:00,AMD
9.89,10.34,9.7,9.91,9.91,67304100.0,2017-12-05T00:00:00,AMD
9.9,10.05,9.71,10.0,10.0,38952200.0,2017-12-06T00:00:00,AMD
10.07,10.19,9.95,10.04,10.04,32665600.0,2017-12-07T00:00:00,AMD
10.15,10.2,9.92,9.94,9.94,34897000.0,2017-12-08T00:00:00,AMD
9.97,10.16,9.96,10.16,10.16,29956400.0,2017-12-11T00:00:00,AMD
10.13,10.14,9.88,9.9,9.9,36211000.0,2017-12-12T00:00:00,AMD
9.97,10.21,9.95,10.11,10.11,41494800.0,2017-12-13T00:00:00,AMD
10.1,10.17,9.96,10.13,10.13,29006800.0,2017-12-14T00:00:00,AMD
10.13,10.32,10.02,10.29,10.29,45462300.0,2017-12-15T00:00:00,AMD
10.6,11.0,10.51,10.98,10.98,63797700.0,2017-12-18T00:00:00,AMD
11.0,11.19,10.87,10.95,10.95,43852900.0,2017-12-19T00:00:00,AMD
11.1,11.18,10.8,10.98,10.98,31420300.0,2017-12-20T00:00:00,AMD
10.98,11.08,10.87,10.89,10.89,21884300.0,2017-12-21T00:00:00,AMD
10.75,10.77,10.2,10.54,10.54,50744500.0,2017-12-22T00:00:00,AMD
10.38,10.58,10.34,10.46,10.46,20437900.0,2017-12-26T00:00:00,AMD
10.45,10.74,10.4,10.53,10.53,22921800.0,2017-12-27T00:00:00,AMD
10.57,10.64,10.43,10.55,10.55,18609400.0,2017-12-28T00:00:00,AMD
10.57,10.58,10.27,10.28,10.28,26678900.0,2017-12-29T00:00:00,AMD
10.42,11.02,10.34,10.98,10.98,44146300.0,2018-01-02T00:00:00,AMD
11.61,12.14,11.36,11.55,11.55,154066700.0,2018-01-03T00:00:00,AMD
12.1,12.43,11.97,12.12,12.12,109503000.0,2018-01-04T00:00:00,AMD
12.19,12.22,11.66,11.88,11.88,63808900.0,2018-01-05T00:00:00,AMD
12.01,12.3,11.85,12.28,12.28,63346000.0,2018-01-08T00:00:00,AMD
12.0,12.02,11.71,11.82,11.82,62560900.0,2018-01-09T00:00:00,AMD
11.63,12.15,11.56,11.96,11.96,52561200.0,2018-01-10T00:00:00,AMD
12.07,12.19,11.9,12.14,12.14,38354900.0,2018-01-11T00:00:00,AMD
11.82,12.07,11.8,12.02,12.02,47149300.0,2018-01-12T00:00:00,AMD
12.05,12.2,11.8,11.91,11.91,42686600.0,2018-01-16T00:00:00,AMD
11.9,12.19,11.82,12.18,12.18,39020800.0,2018-01-17T00:00:00,AMD
12.18,12.68,12.15,12.47,12.47,62086200.0,2018-01-18T00:00:00,AMD
12.56,12.88,12.54,12.59,12.59,46800700.0,2018-01-19T00:00:00,AMD
12.61,12.74,12.37,12.65,12.65,34758600.0,2018-01-22T00:00:00,AMD
12.82,13.0,12.76,12.94,12.94,46417200.0,2018-01-23T00:00:00,AMD
13.02,13.05,12.6,12.71,12.71,41956400.0,2018-01-24T00:00:00,AMD
12.78,12.94,12.32,12.41,12.41,42966600.0,2018-01-25T00:00:00,AMD
12.7,12.95,12.62,12.95,12.95,44239000.0,2018-01-26T00:00:00,AMD
13.13,13.47,13.05,13.32,13.32,66645400.0,2018-01-29T00:00:00,AMD
13.12,13.27,12.69,12.87,12.87,91236400.0,2018-01-30T00:00:00,AMD
13.24,13.85,13.15,13.74,13.74,140977800.0,2018-01-31T00:00:00,AMD
13.62,13.84,13.21,13.25,13.25,67543300.0,2018-02-01T00:00:00,AMD
13.05,13.06,12.43,12.45,12.45,79432600.0,2018-02-02T00:00:00,AMD
